CG_PROD,DES_PROD,CANT,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
2866Q2R1RSM3113,"2800 6""Q8"" 300(RF)x150(RF) sellada",1.0,2023-09-12,2023-06-30 14:30:10.953,,61340,,,7607.28
1721V7M7HAM1226,"1700 3/4""x1"" BSP(M)xBSP(H) Tob 3/4"" AP.",1.0,2023-09-10,2023-06-30 14:30:06.930,,61295,,,774.4
1721V7M7HAM1226,"1700 3/4""x1"" BSP(M)xBSP(H) Tob 3/4"" AP.",1.0,2023-09-10,2023-06-30 14:30:07.750,,61296,,,774.4
1827X7M7HAM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H).",1.0,2023-09-10,2023-06-28 15:56:06.220,,61297,,,543.84
1827X7M7HAM1310,"1800 1""x1.1/2"" BSP(M)xBSP(H).",1.0,2023-09-10,2023-06-28 15:56:32.113,,61297,,,543.84
2828D1R1RTM1014,"2800 1""D2"" 150(RF)x150(RF) sellada",1.0,2023-09-10,2023-06-30 14:30:09.110,,61298,,,1093.06
2828D1R1RTM1014,"2800 1""D2"" 150(RF)x150(RF) sellada",1.0,2023-09-10,2023-06-30 14:30:10.027,,61299,,,1093.06
2828D2R1RTM1015,"2800 1""D2"" 300(RF)x150(RF) sellada",1.0,2023-09-09,2023-06-27 07:14:25.960,,61293,,,1240.2
2828D2R1RTM1015,"2800 1""D2"" 300(RF)x150(RF) sellada",1.0,2023-09-09,2023-06-27 07:14:26.733,,61294,,,1240.2
1821X9M9HSM1310,"1800 3/4""x1"" NPT(M)xNPT(H) sellada",1.0,2023-09-06,2023-06-26 08:38:33.240,,61290,,,507.7
1821X9M9HSM1310,"1800 3/4""x1"" NPT(M)xNPT(H) sellada",1.0,2023-09-06,2023-06-26 08:38:34.980,,61292,,,507.45
1821X9M9HSM1310,"1800 3/4""x1"" NPT(M)xNPT(H) sellada",1.0,2023-09-06,2023-06-26 08:38:36.853,,61287,,,507.7
1821X9M9HSM1310,"1800 3/4""x1"" NPT(M)xNPT(H) sellada",1.0,2023-09-06,2023-06-26 08:38:37.407,,61288,,,507.7
1821X9M9HSM1310,"1800 3/4""x1"" NPT(M)xNPT(H) sellada",1.0,2023-09-06,2023-06-26 08:38:37.953,,61289,,,507.7
1827Y9M9HSM1310,"1800 AP 1""x1.1/2"" NPT(M)xNPT(H) sellada",1.0,2023-09-06,2023-06-26 08:38:34.353,,61291,,,578.02
2451K1R1RGM1010,"2400 3""K4"" 150(RF)x150(RF) Con Palanca",1.0,2023-09-06,2023-06-26 08:38:35.587,,61285,,,3328.38
2451K1R1RGM1010,"2400 3""K4"" 150(RF)x150(RF) Con Palanca",1.0,2023-09-06,2023-06-26 08:38:36.280,,61286,,,3328.38
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:05:55.630,,61380,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:05:58.023,,61381,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:00.220,,61382,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:01.737,,61383,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:04.320,,61364,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:05.793,,61365,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:07.277,,61366,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:09.993,,61367,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:12.600,,61368,,,496.4
1725D9M9HAM1325,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std.",1.0,2023-09-05,2023-07-10 15:06:13.507,,61369,,,496.4
