,CG_PROD,DES_PROD,CANT,SIMULTANEO,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
3265,1827X7M7HFM1110,"1800 1""x1.1/2"" BSP(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737499,737496,2020-06-17 15:00:38.730,56730,2024-01-23 14:00:00.000,2024-01-23 14:00:00.000,0.0115807759119861
3266,1821X7M7HFM1110,"1800 3/4""x1"" BSP(M)xBSP(H) C/Pal.",1.0,[0. 0. 0. ... 0. 0. 0.],737496,737477,2020-06-29 09:40:18.007,56662,2024-02-27 14:00:00.000,2024-02-27 14:00:00.000,612.0
3267,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737495,737476,2020-06-29 09:39:36.607,56658,2024-02-20 14:00:00.000,2024-02-20 14:00:00.000,616.0
3268,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737495,737476,2020-06-29 09:39:55.920,56657,2024-02-21 18:00:00.000,2024-02-21 18:00:00.000,616.0
3269,3515R2Z1,AC/R-350 BSP H-H Punta eje libre g.indist.,1.0,[0. 0. 0. ... 0. 0. 0.],737495,737472,2020-06-25 09:45:25.487,56644,2021-02-27 10:00:00.000,2021-02-27 10:00:00.000,597.6
3270,1721D7M7HSM1325,"1700 3/4""x1"" BSP(M)xBSP(H) Tob 1"" std sellada",1.0,[0. 0. 0. ... 0. 0. 0.],737490,737472,2020-07-01 08:16:03.810,56645,2024-03-05 14:00:00.000,2024-03-05 14:00:00.000,355.2
3271,1721D7M7HSM1325,"1700 3/4""x1"" BSP(M)xBSP(H) Tob 1"" std sellada",1.0,[0. 0. 0. ... 0. 0. 0.],737490,737472,2020-07-01 08:16:24.200,56646,2024-03-06 18:00:00.000,2024-03-06 18:00:00.000,355.2
3272,1721D7M7HSM1325,"1700 3/4""x1"" BSP(M)xBSP(H) Tob 1"" std sellada",1.0,[0. 0. 0. ... 0. 0. 0.],737490,737472,2020-07-01 08:16:48.910,56647,2024-03-09 10:00:00.000,2024-03-09 10:00:00.000,355.2
3273,2651K1R1RBM1015,"2600 3""K4"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737490,737488,,56615,,,0.0
3274,2651K1R1RBM1015,"2600 3""K4"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737490,737488,,56614,,,0.0
3275,1725D9M9HSV2626,"1700 1""x1"" NPT(M)xNPT(H) Tob 1""Std sello de viton",1.0,[0. 0. 0. ... 0. 0. 0.],737489,737472,2020-06-23 13:49:42.280,56648,2024-02-13 14:00:00.000,2024-02-13 14:00:00.000,506.0
3276,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737489,737472,2020-06-17 15:01:48.757,56654,2021-07-05 18:00:00.000,2021-07-05 18:00:00.000,616.0
3277,1816XZC7HFM1214,"1800 1/2""x3/4"" CLAMP x BSP(H) Con palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737489,737472,2020-06-17 15:01:14.290,56653,2021-07-08 10:00:00.000,2021-07-08 10:00:00.000,616.0
3278,3715R4Z1,"ACR-900 1/2"" BSP H-H Punta eje libre giro indistinto",1.0,[0. 0. 0. ... 0. 0. 0.],737485,737436,2020-06-25 09:45:46.450,56595,2021-02-23 14:00:00.000,2021-02-23 14:00:00.000,765.0
3279,3715R4Z1,"ACR-900 1/2"" BSP H-H Punta eje libre giro indistinto",1.0,[0. 0. 0. ... 0. 0. 0.],737485,737436,2020-06-25 09:46:04.577,56596,2021-02-24 18:00:00.000,2021-02-24 18:00:00.000,765.0
